GLASS,JUDGE,DT_1EXPOSURE,DT_2DEVELOP,DT_3FIRE,MC_1EXPOSURE,MC_2DEVELOP,MC_3FIRE
GLS-111,양품,2013-03-05T23:54:08,2013-03-06T00:01:01,2013-03-06T00:34:43,2호기,1호기,2호기
GLS-112,양품,2013-03-06T00:05:38,2013-03-06T00:12:25,2013-03-06T00:42:00,2호기,1호기,1호기
GLS-113,양품,2013-03-06T00:13:04,2013-03-06T00:19:41,2013-03-06T00:48:00,1호기,1호기,1호기
GLS-114,명점,2013-03-06T00:14:24,2013-03-06T00:21:01,2013-03-06T00:51:00,2호기,2호기,1호기
GLS-115,양품,2013-03-06T00:17:24,2013-03-06T00:24:17,2013-03-06T00:55:10,2호기,2호기,2호기
GLS-116,양품,2013-03-06T00:20:42,2013-03-06T00:27:05,2013-03-06T00:59:33,2호기,2호기,1호기
GLS-117,양품,2013-03-06T00:27:50,2013-03-06T00:34:25,2013-03-06T01:05:33,1호기,1호기,1호기
GLS-118,양품,2013-03-06T00:29:34,2013-03-06T00:35:53,2013-03-06T01:07:10,2호기,1호기,2호기
GLS-119,양품,2013-03-06T00:32:16,2013-03-06T00:38:57,2013-03-06T01:14:33,2호기,1호기,1호기
GLS-120,양품,2013-03-06T00:44:12,2013-03-06T00:50:37,2013-03-06T01:24:43,2호기,2호기,2호기
GLS-121,양품,2013-03-06T00:54:34,2013-03-06T01:01:29,2013-03-06T01:30:43,1호기,1호기,2호기
GLS-122,양품,2013-03-06T00:57:54,2013-03-06T01:05:53,2013-03-06T01:32:33,1호기,1호기,1호기
GLS-123,양품,2013-03-06T00:51:22,2013-03-06T00:58:09,2013-03-06T01:34:10,1호기,2호기,2호기
GLS-124,양품,2013-03-06T00:59:08,2013-03-06T01:07:25,2013-03-06T01:38:10,2호기,2호기,2호기
GLS-125,양품,2013-03-06T01:10:00,2013-03-06T01:18:05,2013-03-06T01:52:33,1호기,1호기,1호기
GLS-126,양품,2013-03-06T01:11:44,2013-03-06T01:19:29,2013-03-06T01:54:10,2호기,2호기,2호기
GLS-127,양품,2013-03-06T01:20:10,2013-03-06T01:27:53,2013-03-06T02:06:10,2호기,1호기,2호기
GLS-128,양품,2013-03-06T01:22:44,2013-03-06T01:30:37,2013-03-06T02:10:10,2호기,1호기,2호기
GLS-129,양품,2013-03-06T01:26:56,2013-03-06T01:34:53,2013-03-06T02:17:43,1호기,1호기,2호기
GLS-130,양품,2013-03-06T01:36:04,2013-03-06T01:43:17,2013-03-06T02:24:10,1호기,2호기,2호기
GLS-131,명점,2013-03-06T06:40:06,2013-03-06T06:46:37,2013-03-06T07:20:33,1호기,1호기,1호기
GLS-132,명점,2013-03-06T07:03:58,2013-03-06T07:11:13,2013-03-06T07:43:00,1호기,2호기,1호기
GLS-133,명점,2013-03-06T08:53:16,2013-03-06T08:59:49,2013-03-06T09:27:00,1호기,1호기,1호기
GLS-134,양품,2013-03-06T09:15:16,2013-03-06T09:26:25,2013-03-06T09:52:00,2호기,2호기,1호기
GLS-135,양품,2013-03-06T09:42:42,2013-03-06T09:48:53,2013-03-06T10:24:33,2호기,1호기,1호기
GLS-136,명점,2013-03-06T14:47:38,2013-03-06T14:53:57,2013-03-06T15:42:43,2호기,2호기,2호기
GLS-137,양품,2013-03-06T17:06:20,2013-03-06T17:12:53,2013-03-06T17:54:10,2호기,1호기,2호기
GLS-138,명점,2013-03-06T19:18:32,2013-03-06T19:25:33,2013-03-06T20:07:00,1호기,2호기,1호기
GLS-139,양품,2013-03-06T21:31:14,2013-03-06T21:38:09,2013-03-06T22:27:10,1호기,2호기,2호기
GLS-140,양품,2013-03-06T21:46:02,2013-03-06T21:54:01,2013-03-06T22:44:43,1호기,2호기,2호기
GLS-141,양품,2013-03-07T01:13:10,2013-03-07T01:28:49,2013-03-07T02:11:33,2호기,1호기,1호기
GLS-142,양품,2013-03-07T05:16:02,2013-03-07T05:22:49,2013-03-07T05:55:43,2호기,1호기,2호기
GLS-143,양품,2013-03-07T05:17:30,2013-03-07T05:24:45,2013-03-07T05:57:33,1호기,2호기,1호기
GLS-144,양품,2013-03-07T05:14:04,2013-03-07T05:21:05,2013-03-07T05:58:43,1호기,2호기,2호기
GLS-145,양품,2013-03-07T05:26:28,2013-03-07T05:33:05,2013-03-07T06:06:00,2호기,1호기,1호기
GLS-146,양품,2013-03-07T05:30:42,2013-03-07T05:37:37,2013-03-07T06:10:43,1호기,2호기,2호기
GLS-147,양품,2013-03-07T05:37:28,2013-02-26T15:27:37,2013-03-07T06:17:33,1호기,2호기,1호기
GLS-148,명점,2013-03-07T08:40:36,2013-03-07T08:47:33,2013-03-07T09:17:33,1호기,2호기,1호기
GLS-149,양품,2013-03-05T22:52:12,2013-03-05T22:58:45,2013-03-07T09:51:00,1호기,2호기,1호기
GLS-150,양품,2013-03-05T05:55:16,2013-03-05T06:08:09,2013-03-07T09:54:33,2호기,1호기,1호기
GLS-151,양품,2013-03-04T18:03:04,2013-03-04T18:09:49,2013-03-07T09:59:10,2호기,2호기,2호기
GLS-152,명점,2013-03-07T14:12:06,2013-03-07T14:18:41,2013-03-07T14:58:43,2호기,1호기,2호기
GLS-153,명점,2013-03-07T14:23:04,2013-03-07T14:29:33,2013-03-07T15:14:10,1호기,2호기,1호기
GLS-154,명점,2013-03-07T17:26:20,2013-03-07T17:34:53,2013-03-07T18:09:10,1호기,1호기,2호기
GLS-155,양품,2013-03-07T23:52:28,2013-03-08T00:00:05,2013-03-08T00:32:33,1호기,2호기,1호기
GLS-156,양품,2013-03-08T00:02:44,2013-03-08T00:09:53,2013-03-08T00:41:33,2호기,1호기,1호기
GLS-157,양품,2013-03-08T00:00:18,2013-03-08T00:08:29,2013-03-08T00:47:33,1호기,1호기,1호기
GLS-158,양품,2013-03-08T00:13:32,2013-03-08T00:20:13,2013-03-08T00:54:43,2호기,2호기,2호기
GLS-159,양품,2013-03-08T02:13:38,2013-03-08T02:20:01,2013-03-08T03:00:10,1호기,1호기,2호기
GLS-160,양품,2013-03-08T02:20:48,2013-03-08T02:27:17,2013-03-08T03:08:33,2호기,2호기,1호기
GLS-161,양품,2013-03-08T02:23:30,2013-03-08T02:30:05,2013-03-08T03:11:33,2호기,2호기,1호기
GLS-162,양품,2013-03-08T02:38:26,2013-03-08T02:45:49,2013-03-08T03:27:10,1호기,1호기,2호기
GLS-163,양품,2013-03-08T03:16:50,2013-03-08T03:23:05,2013-03-08T04:02:43,1호기,2호기,2호기
GLS-164,양품,2013-03-08T03:25:02,2013-03-08T03:32:09,2013-03-08T04:16:00,1호기,1호기,1호기
GLS-165,양품,2013-03-08T03:28:34,2013-03-08T03:34:49,2013-03-08T04:17:10,1호기,2호기,2호기
GLS-166,양품,2013-03-04T18:14:32,2013-03-04T18:21:01,2013-03-08T04:39:33,2호기,1호기,1호기
GLS-167,양품,2013-03-04T19:01:46,2013-03-04T19:08:37,2013-03-08T04:50:10,2호기,1호기,2호기
GLS-168,양품,2013-03-04T18:51:52,2013-03-04T18:58:29,2013-03-08T04:55:43,2호기,1호기,2호기
GLS-169,양품,2013-03-05T14:35:18,2013-03-05T14:42:25,2013-03-08T04:57:30,1호기,1호기,1호기
GLS-170,명점,2013-03-05T14:17:26,2013-03-05T14:23:57,2013-03-08T04:58:43,1호기,2호기,1호기
GLS-171,양품,2013-03-04T18:35:20,2013-03-04T18:43:29,2013-03-08T05:06:00,2호기,2호기,1호기
GLS-172,양품,2013-03-04T18:17:24,2013-03-04T18:23:37,2013-03-08T05:09:00,2호기,2호기,1호기
GLS-173,양품,2013-03-04T18:36:34,2013-03-04T18:56:57,2013-03-08T05:20:43,1호기,1호기,2호기
GLS-174,양품,2013-03-04T18:25:36,2013-03-04T18:32:25,2013-03-08T05:22:00,2호기,1호기,1호기
GLS-175,명점,2013-03-04T18:28:48,2013-03-04T18:35:45,2013-03-08T05:24:33,2호기,2호기,1호기
GLS-176,양품,2013-03-04T17:37:40,2013-03-04T17:43:57,2013-03-08T05:27:33,2호기,1호기,1호기
GLS-177,명점,2013-03-08T07:01:26,2013-03-08T07:18:05,2013-03-08T08:01:33,1호기,1호기,1호기
GLS-178,양품,2013-03-08T15:47:36,2013-03-08T15:54:05,2013-03-08T16:22:43,1호기,2호기,2호기
GLS-179,양품,2013-03-08T16:36:32,2013-03-08T16:43:37,2013-03-08T17:12:43,2호기,1호기,2호기
GLS-180,명점,2013-03-08T16:51:50,2013-03-08T16:58:53,2013-03-08T17:56:10,2호기,1호기,2호기
GLS-181,양품,2013-03-08T17:09:54,2013-03-08T17:16:29,2013-03-08T17:58:43,1호기,1호기,2호기
GLS-182,양품,2013-03-08T23:12:08,2013-03-08T23:19:05,2013-03-08T23:55:43,2호기,1호기,2호기
GLS-183,양품,2013-03-09T01:42:12,2013-03-09T01:57:33,2013-03-09T02:34:00,2호기,1호기,1호기
GLS-184,명점,2013-03-09T12:46:02,2013-03-09T12:52:13,2013-03-09T13:14:33,1호기,2호기,1호기
GLS-185,양품,2013-03-09T14:28:52,2013-03-09T14:35:25,2013-03-09T15:09:43,2호기,1호기,2호기
GLS-186,명점,2013-03-09T16:52:30,2013-03-09T16:59:05,2013-03-09T17:31:33,2호기,1호기,1호기
GLS-187,양품,2013-03-09T19:55:44,2013-03-09T20:02:13,2013-03-09T20:41:00,1호기,2호기,1호기
GLS-188,양품,2013-03-09T20:25:10,2013-03-09T20:39:37,2013-03-09T21:12:10,1호기,2호기,2호기
GLS-189,명점,2013-03-09T22:24:02,2013-03-09T22:30:29,2013-03-09T23:07:33,1호기,2호기,1호기
GLS-190,양품,2013-03-10T00:43:08,2013-03-10T00:49:33,2013-03-10T01:23:33,1호기,2호기,1호기
GLS-191,양품,2013-03-10T01:33:22,2013-03-10T01:40:41,2013-03-10T02:27:00,2호기,1호기,1호기
GLS-192,양품,2013-03-10T03:40:46,2013-03-10T03:51:21,2013-03-10T04:49:10,2호기,1호기,2호기
GLS-193,양품,2013-03-10T05:22:32,2013-03-10T05:39:53,2013-03-10T06:24:10,2호기,2호기,2호기
GLS-194,양품,2013-03-10T05:24:04,2013-03-10T05:41:25,2013-03-10T06:29:43,1호기,1호기,2호기
GLS-195,명점,2013-03-10T05:25:16,2013-03-10T05:43:05,2013-03-10T06:34:00,2호기,2호기,1호기
GLS-196,양품,2013-03-10T06:23:16,2013-03-10T06:40:33,2013-03-10T07:24:33,2호기,1호기,1호기
GLS-197,양품,2013-03-10T06:47:48,2013-03-10T07:03:41,2013-03-10T07:49:43,1호기,1호기,2호기
GLS-198,명점,2013-03-10T12:05:40,2013-03-10T12:22:53,2013-03-10T13:06:00,1호기,1호기,1호기
